id,name,description,url_img,status,author,created_at
1,Harry Potter e a Pedra Filosofal,O primeiro livro da série de sucesso que narra as aventuras do jovem Harry pela escola de Magia de Hogwarts.,https://m.media-amazon.com/images/I/51lRMYwP-4L.jpg,available,J. K. Rowling,2024-02-20 13:47:53
2,Orgulho e Preconceito,Um romance clássico que explora as complexidades sociais e os relacionamentos entre Elizabeth Bennet e Mr. Darcy.,https://cirandacultural.fbitsstatic.net/img/p/orgulho-e-preconceito-74430/260958.jpg?w=520&h=520&v=no-change&qs=ignore,available,Jane Austen,2024-02-20 14:05:22
4,Frankenstein,"Um clássico do terror que explora as consequências da busca pela imortalidade, com o Dr. Frankenstein criando uma criatura assustadora.",https://d1b6q258gtjyuy.cloudfront.net/Custom/Content/Products/04/58/0458_https-www-escala-com-br-frankenstein-mary-shelley-p2144-_m1_637951427128518564.jpg,available,Mary Shelley,2024-02-20 14:12:07
5,O Código Da Vinci,"Um emocionante thriller que mistura arte, simbologia e conspirações, levando o leitor por uma busca frenética por segredos antigos.",https://m.media-amazon.com/images/I/41U51ByfcwL.jpg,available,Dan Brown,2024-02-20 14:14:50
6,A Culpa é das Estrelas,"Uma história emocionante sobre amor e perda, seguindo os protagonistas Hazel Grace Lancaster e Augustus Waters em uma jornada inesquecível.","https://m.media-amazon.com/images/I/51M9IbBqxCL._AC_UF1000,1000_QL80_.jpg",available,John Green,2024-02-20 14:17:11
7,Drácula,Um clássico do horror gótico que apresenta o famoso vampiro Conde Drácula e suas interações com a sociedade vitoriana.,"https://m.media-amazon.com/images/I/61MgodE1s0L._AC_UF1000,1000_QL80_.jpg",available,Bram Stoker,2024-02-20 14:19:44
8,Romeu e Julieta,"Uma tragédia romântica clássica que narra a história de amor proibido entre os jovens Romeu e Julieta, de famílias rivais.",https://cdn.kobo.com/book-images/a6a7c6d7-209a-44e3-8aaa-a42ce925fa8c/1200/1200/False/romeu-e-julieta-ilustrado-com-indice-ativo.jpg,available,William Shakespeare,2024-02-20 14:22:18
9,A Garota no Trem,Um suspense psicológico que segue a protagonista Rachel enquanto ela se envolve em um mistério envolvendo uma mulher desaparecida.,https://img.travessa.com.br/livro/GR/87/87708ec5-f872-409a-9bda-a3802af72de6.jpg,available,Paula Hawkins,2024-02-20 14:24:46
10,O Pequeno Príncipe,Um conto filosófico e emocional sobre a jornada de um pequeno príncipe por diferentes planetas e suas interações com os habitantes.,https://http2.mlstatic.com/D_NQ_NP_881356-MLU50455408885_062022-O.webp,available,Antoine de Saint-Exupéry,2024-02-20 14:26:40
11,Neuromancer,"Um clássico da ficção científica que introduz o conceito de ciberespaço e segue a história de Case, um hacker em um mundo distópico.",https://editoraaleph.com.br/wp-content/uploads/2020/09/Alp_1SiteNovo_4CadastroSimples_Neuromancer.png,available,William Gibson,2024-02-20 14:28:07
12,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Gu",Uma fantasia clássica que segue as aventuras dos irmãos Pevensie em um mundo mágico habitado por criaturas místicas.,"https://m.media-amazon.com/images/I/7158aW38zxL._AC_UF1000,1000_QL80_.jpg",available,C.S. Lewis,2024-02-20 14:29:42
13,Crime e Castigo,"Um romance psicológico que explora as consequências morais e psicológicas do assassinato, seguindo a história de Raskólnikov.",https://cdn.kobo.com/book-images/d2966f8a-4e49-4807-81a9-9e1e453f00ad/353/569/90/False/crime-e-castigo-9.jpg,available,Fyodor Dostoevsky,2024-02-20 14:31:12
14,O Jogador Nº 1,"Uma aventura emocionante que se passa em um futuro distópico, onde as pessoas escapam da realidade por meio de um vasto e envolvente universo de realidade virtual.","https://m.media-amazon.com/images/I/917GI-fesVL._AC_UF1000,1000_QL80_.jpg",available,Ernest Cline,2024-02-20 14:33:04
15,O Senhor dos Anéis,Uma trilogia épica que segue a jornada de Frodo Bolseiro para destruir um anel que pode trazer a ruína ao mundo.,"https://m.media-amazon.com/images/I/81MZ8OjmQrL._AC_UF1000,1000_QL80_.jpg",available,J.R.R. Tolkien,2024-02-20 14:35:55
16,Memórias Póstumas de Brás Cubas,"É a obra que sela a nossa independência literária, a nossa maturidade intelectual e social, a liberdade de concepção e expressão de que o Brasil se encontrava necessitado na época.",https://static.mundoeducacao.uol.com.br/mundoeducacao/conteudo_legenda/4230f70d3f6efaefb1b0f82d0d705f9e.jpg,available,Machado de Assis,2024-02-20 14:57:06
17,"Gabriela, Cravo e Canela","Trata-se de uma crônica da modernização dos costumes, para cuja guinada ajuda a contribuir Gabriela, ou melhor, seu comportamento libertário e a reação do árabe.","https://m.media-amazon.com/images/I/81IyZdXmUqL._AC_UF1000,1000_QL80_.jpg",available,Jorge Amado,2024-02-21 10:54:37
18,CapitÃ£es da Areia,CapitÃ£es da Areia Ã© um romance de autoria do escritor brasileiro Jorge Amado escrito em 1937.,https://m.media-amazon.com/images/I/41Srh2of8TL.jpg,available,Jorge Amado,2024-02-21 15:06:07
19,Vidas Secas,"Vidas Secas Ã© um influente e importante romance do escritor brasileiro Graciliano Ramos, escrito entre 1937 e 1938",https://books.google.com.br/books/publisher/content?id=GZjsEAAAQBAJ&hl=pt-BR&pg=PP1&img=1&zoom=3&bul=1&sig=ACfU3U2LWxVhSg6eHrimE-8FM3LVngUCAQ&w=1280,available,Graciliano Ramos,2024-02-22 13:12:17
